No Satelit    Epoch                 B*               True Anomaly       Ketinggian
41603         2023.32468441658      0.00014837        19.06995012       490.04109028
41603         2023.32557198373      0.00014041       353.86343608       489.53915079
41603         2023.32662625792      0.00013297       302.24691137       494.00046343
41603         2023.32738317964      0.00012868        16.97227809       489.84810330
41603         2023.32826733175      0.00012558       345.17055586       489.73415382
41603         2023.32897781603      0.00012558       326.19661070       491.05762938
41603         2023.33027296756      0.00012458        36.59607160       491.27893313
41603         2023.33133508868      0.00012379         0.91332615       489.31394758
41603         2023.33224235764      0.00012775        15.45131413       489.63612868
41603         2023.33278710027      0.00012826        24.96761122       490.19032860
41603         2023.33379420345      0.00012516       239.08500003       504.28910611
41603         2023.33456038901      0.00012700       331.62392860       490.44827311
41603         2023.33583966268      0.00012477        10.39622598       489.41516501
41603         2023.33656010047      0.00012034        11.10303803       489.43310741
41603         2023.33742040586      0.00012036       291.48968969       495.52710282
41603         2023.33835358764      0.00011949       358.07835157       489.23424341
41603         2023.33906559995      0.00011690       341.97645229       489.70301863
41603         2023.33959188479      0.00011733       314.28818808       492.17169523
41603         2023.34031390392      0.00011707       318.47983262       491.67866864
41603         2023.34124166929      0.00011754        14.36520830       489.46189291
41603         2023.34214393323      0.00011785        18.79913590       489.64448167
41603         2023.34284568496      0.00012089       342.32515429       489.59176362
41603         2023.34412306731      0.00012363        17.27175862       489.53561684
41603         2023.34665818742      0.00013158        47.81344915       492.36262103
41603         2023.34715842260      0.00013067       328.19122519       490.58478724
41603         2023.34772581038      0.00013127        23.08395138       489.84922090
41603         2023.34860109342      0.00013360       333.71681329       490.08356927
41603         2023.34933851693      0.00013516         8.70783287       489.15497263
41603         2023.35027338858      0.00013468        78.54450665       497.07233355
41603         2023.35205655014      0.00013997        45.18765137       491.95986988
41603         2023.35475568170      0.00014525        43.19944738       491.67675581
41603         2023.35567654090      0.00014647        84.97194217       498.14016112
41603         2023.35653344512      0.00015131       359.10969188       488.94893346
41603         2023.35763242260      0.00015325        37.32435465       491.00125476
41603         2023.35853453441      0.00015515        41.63826517       491.47769489
41603         2023.35940626011      0.00016030       344.97673656       489.27517512
41603         2023.36034453178      0.00016237        61.67274627       494.20632026
41603         2023.36141270868      0.00016184        38.27252983       491.07805317
41603         2023.36211585093      0.00016448         4.58659322       488.95086040
41603         2023.36321231729      0.00016570        37.48746030       490.98092853
41603         2023.36411530173      0.00016518        43.36550402       491.63144411
41603         2023.36498681060      0.00016682       346.37220132       489.19207873
41603         2023.36537753458      0.00016671        47.97949322       492.21852416
41603         2023.36611051858      0.00016687        74.13263494       496.18501421
41603         2023.36663258438      0.00016496        38.14512482       491.03516512
41603         2023.36698247893      0.00016594        17.96737176       489.36589577
41603         2023.36733908707      0.00016716        11.23930715       489.07753620
41603         2023.36844327912      0.00016686        59.81543940       493.86767370
